id,name,abbr,team,pos,color,photo,gp,g,a,pts,plusMinus,pim,shots
8481711,Matias Maccelli,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481711.png,60,14,21,35,-16,14,82
8475171,Oliver Ekman-Larsson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475171.png,68,8,27,35,-7,56,100
8480009,Eeli Tolvanen,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480009.png,66,12,23,35,-14,26,120
8477497,Sean Monahan,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477497.png,65,12,23,35,6,12,114
8483493,Frank Nazar,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8483493.png,53,11,23,34,-15,24,110
8480028,Morgan Frost,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480028.png,69,16,18,34,-18,24,117
8478975,Mason Marchment,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478975.png,56,16,18,34,8,52,97
8482775,Oliver Kapanen,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482775.png,69,20,14,34,3,20,115
8478414,Timo Meier,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478414.png,64,19,15,34,-17,18,228
8481580,Connor McMichael,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481580.png,66,10,24,34,5,22,125
8475753,Justin Faulk,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475753.png,68,12,22,34,-4,34,126
8478474,Lawson Crouse,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478474.png,69,17,17,34,21,27,113
8477015,Connor Brown,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477015.png,62,13,21,34,-4,12,92
8478047,Michael Bunting,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478047.png,68,14,19,33,-21,20,119
8482155,Alex Laferriere,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482155.png,69,17,16,33,-1,16,170
8482110,Dawson Mercer,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482110.png,69,15,18,33,-4,33,130
